truth_label,test_index,method,truth_u,truth_covariance,u_posterior_mean,covariance_posterior_mean,covariance_error,covariance_posterior_sd,covariance_q05,covariance_q95,covariance_covers90,extremal_ise
low,42,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.33617342738662864,0.30099652536907745,0.22149447041625722]","[265.2114025178746,-18.667498003839107,140.28938907069295]","[31.14732494153381,-8.615125576524823,10.18524442794984]","[24.7161570765459,9.949764922081636,12.639942152101373]","[227.17386848427938,-33.654302784946815,120.85044405402289]","[308.233441666075,-1.6978703176691814,162.50041817390493]","[true,true,true]",0.0002343386865628948
low,43,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.26165960208678823,0.2517119588867616,0.2584150522144176]","[238.7445212764332,-7.965435722899561,130.8300941584251]","[4.680443700092411,2.0869367044147227,0.7259495156820037]","[20.180193416791234,10.956310336692587,10.655897629465349]","[209.99834952498335,-25.468163709857972,116.10387261363869]","[276.7926784562393,10.889645344039197,149.50111855037764]","[true,true,true]",3.855789619614156e-06
low,44,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.2511668224652954,0.2826939337673071,0.19939490291374945]","[235.11144683135362,-22.7793492209915,136.6511693723862]","[1.0473692550128249,-12.726976793677215,6.547024729643084]","[17.91095208618855,8.013261014380765,11.243561810850151]","[209.42314760312885,-33.70724556321413,119.93695068479776]","[267.62670338976534,-8.693618814283674,157.09925350669147]","[true,true,true]",7.537585734128107e-05
low,45,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.28870179130514023,0.25987953072239617,0.28915146272299797]","[247.99678100900144,-0.3864138783634562,132.37515295714272]","[13.932703432660645,9.665958548950828,2.2710083143996087]","[21.338852304041204,11.527331494293461,11.276978808788394]","[215.9693829529144,-18.624246190952444,116.57949186709139]","[285.4403759792988,19.231991295353353,151.67349101783344]","[true,true,true]",6.996425590440504e-05
low,46,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.3242016818307143,0.22754046987746807,0.33475760527134]","[260.7797991783908,11.160973795302809,126.41502511156297]","[26.715721602050024,21.21334622261709,-3.6891195311801397]","[24.10194870573953,12.368441266402815,9.577188676394055]","[224.4308469123126,-8.639620498289522,114.43631936680144]","[303.7033850057814,32.36860250465299,142.90262927798128]","[true,false,true]",0.0002569321126667114
low,47,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.2974663341095261,0.2705854246648302,0.26579085267825936]","[251.25979400595347,-6.471441943288476,134.4515484128624]","[17.195716429612673,3.5809304840258074,4.347403770119286]","[23.915622162454568,11.178004989296307,12.408354292195504]","[214.85944837155174,-23.858018235110077,116.97701358794086]","[293.4337449830849,12.57822125283004,155.4953881231679]","[true,true,true]",6.371488979783697e-05
low,48,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.2003896511333627,0.2384006576834984,0.2407509744648757]","[218.66340519940405,-11.732214247406592,128.3654042879596]","[-15.40067237693674,-1.6798418200923084,-1.7387403547835163]","[11.763058692813269,12.17002477223757,9.847576174205102]","[204.6943608221009,-28.79899040716087,115.11939462974475]","[241.06024010450528,10.732723498608157,145.84947060980377]","[true,true,true]",6.365671601104008e-05
low,49,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.3409537936984944,0.31641404473275514,0.3012084328551453]","[267.14257276905107,2.8098095546938833,143.46982229012877]","[33.07849519271028,12.862181982008167,13.365677647385667]","[26.442687556273967,12.527955380947013,14.281167202207165]","[225.57392929216724,-17.101739335523263,122.144254656334]","[311.7359982093975,24.11753642378311,167.90992923271034]","[true,true,true]",0.0003767682838247375
low,50,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.33126648185218677,0.37101148445563475,0.24571868859666268]","[263.56900606707893,-12.688948808252425,154.92294989938327]","[29.504928490738138,-2.6365763809381413,24.81880525664016]","[26.486854381583527,11.454620468771196,15.926631049022886]","[224.7366409439419,-30.925573097253572,130.85149267663064]","[311.0660970681235,6.280997539354387,182.33849676558668]","[true,true,false]",0.0005304589421310661
low,51,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.3589373628576231,0.3882877880552508,0.23708016831063397]","[273.8996766244536,-15.698620349578594,158.6731974553509]","[39.83559904811281,-5.64624792226431,28.569052812607794]","[26.470084215285322,11.404664667195565,15.798159684068413]","[232.05921114422233,-34.053294630849685,133.91019193139627]","[319.37935108810865,3.7437013481156125,185.76584802657965]","[true,true,false]",0.0007850499719427896
