test_index,method,u_true,posterior_mean,posterior_sd,q05,q95,posterior_mean_error,covers90,width90,pilot_raw_residual,pilot_projected_residual,pilot_converged,pilot_boundary,pilot_fallback
20,ours linear full-dataset score + shared NPE,"[0.8068424463272095, 0.26557567715644836, 0.6057839393615723]","[0.7905097276926047, 0.2850918173072346, 0.6151044950991879]","[0.03878137321613778, 0.04843716266718189, 0.031086465290815313]","[0.716292156279087, 0.20994359780102967, 0.5630854684114456]","[0.842052384018898, 0.3646447136998176, 0.6654692515730858]","[-0.016332718634604726, 0.019516140150786232, 0.009320555737615588]","[true, true, true]","[0.125760227739811, 0.15470111589878793, 0.10238378316164021]",5.611165241268622e-08,5.611165237466945e-08,True,False,False
21,ours linear full-dataset score + shared NPE,"[0.5622394680976868, 0.7337149977684021, 0.8469764590263367]","[0.533503614470362, 0.6560122680729633, 0.7932704881262793]","[0.048912845617781565, 0.05550327730278323, 0.034372806225357516]","[0.4490584145486355, 0.5627693709731102, 0.7310361436009407]","[0.6111710149049758, 0.7450338208675384, 0.842365022599697]","[-0.02873585362732478, -0.07770272969543879, -0.053705970900057354]","[true, true, false]","[0.16211260035634034, 0.18226444989442825, 0.11132887899875632]",7.774780209360757e-06,7.774780209421589e-06,True,False,False
22,ours linear full-dataset score + shared NPE,"[0.6778778433799744, 0.6386602520942688, 0.36495348811149597]","[0.7950709805119005, 0.5872476512545357, 0.3149012637426706]","[0.045347709510950206, 0.04984974331934978, 0.034022805608885424]","[0.7054331544041633, 0.5059064331650733, 0.26118971526622775]","[0.8461381313204765, 0.669007276892662, 0.3699522784352302]","[0.11719313713192614, -0.05141260083973309, -0.05005222436882539]","[false, true, true]","[0.14070497691631323, 0.1631008437275887, 0.10876256316900246]",1.4274823567524177,0.85211447120057,False,True,False
23,ours linear full-dataset score + shared NPE,"[0.7415791153907776, 0.44772836565971375, 0.38812679052352905]","[0.72529403966844, 0.49957295530855683, 0.3903346048188199]","[0.04288607180298841, 0.04954743112473757, 0.03202856509453899]","[0.6590900292992592, 0.42030569851398464, 0.34047037452459333]","[0.7935831671953201, 0.5862462079524994, 0.44545291751623156]","[-0.016285075722337616, 0.05184458964884309, 0.002207814295290822]","[true, true, true]","[0.13449313789606088, 0.16594050943851474, 0.10498254299163823]",4.998811916510966e-13,4.998622626634733e-13,True,False,False
24,ours linear full-dataset score + shared NPE,"[0.49582743644714355, 0.27711448073387146, 0.5038418173789978]","[0.45068240937411685, 0.260385562770064, 0.4702097296899572]","[0.03924992899392627, 0.03875764229434903, 0.02701306323882769]","[0.38639777228236194, 0.19674958650022745, 0.42590473666787143]","[0.5144154626131058, 0.32352771058678625, 0.5142077705264092]","[-0.0451450270730267, -0.016728917963807433, -0.03363208768904058]","[true, true, true]","[0.12801769033074384, 0.1267781240865588, 0.08830303385853777]",4.2108959539127744e-13,4.211118312403753e-13,True,False,False
25,ours linear full-dataset score + shared NPE,"[0.2818093001842499, 0.23720413446426392, 0.4524126946926117]","[0.31053864035949136, 0.2571886193304681, 0.44965727984070764]","[0.04131712829493634, 0.041001982530348854, 0.029868156199488495]","[0.24436271496117112, 0.18944900127127764, 0.4028573039174079]","[0.37784660756587984, 0.32552681550383566, 0.49966441050171856]","[0.02872934017524148, 0.01998448486620419, -0.002755414851904059]","[true, true, true]","[0.13348389260470872, 0.13607781423255802, 0.09680710658431063]",3.3216421259275033e-13,3.3213234738741114e-13,True,False,False
26,ours linear full-dataset score + shared NPE,"[0.21793395280838013, 0.32431668043136597, 0.22771498560905457]","[0.23137964982542067, 0.3266263406611791, 0.2494207259084754]","[0.05025888535551315, 0.04741221694462628, 0.03294024697152793]","[0.16271311699412763, 0.25403902016580104, 0.19910053707659242]","[0.31712284103035926, 0.4108831134438515, 0.29921263679862026]","[0.013445697017040542, 0.0023096602298131597, 0.021705740299420823]","[true, true, true]","[0.15440972403623163, 0.15684409327805043, 0.10011209972202784]",2.4643658693049195,0.634083713356414,False,True,False
27,ours linear full-dataset score + shared NPE,"[0.5465256571769714, 0.29820406436920166, 0.5600944757461548]","[0.5632651998031142, 0.253136935312121, 0.5815752379941924]","[0.04693898042418666, 0.059428365994991385, 0.0370941973485577]","[0.4885323080420494, 0.17223383195698258, 0.5215559735894203]","[0.6392494675517082, 0.3685248008370399, 0.6450135159492493]","[0.016739542626142745, -0.04506712905708066, 0.021480762248037633]","[true, true, true]","[0.1507171595096588, 0.19629096888005734, 0.12345754235982898]",2.249216802170579,1.6225111364521905,False,True,False
28,ours linear full-dataset score + shared NPE,"[0.44812747836112976, 0.74813312292099, 0.24313947558403015]","[0.46378184092760183, 0.7025585183501247, 0.2451005877835676]","[0.04175497412514816, 0.04718904158516752, 0.030902478450321565]","[0.3966151738166809, 0.6252600890398025, 0.19637099571526048]","[0.5334475466609001, 0.7805269041657448, 0.2952967531979084]","[0.01565436256647207, -0.04557460457086526, 0.001961112199537457]","[true, true, true]","[0.13683237284421923, 0.15526681512594231, 0.0989257574826479]",5.359989635383791e-13,5.36001456254445e-13,True,False,False
29,ours linear full-dataset score + shared NPE,"[0.2729624807834625, 0.46274882555007935, 0.31784647703170776]","[0.32952814408943076, 0.4648117176949957, 0.30283990346208295]","[0.04067536911846528, 0.04435358842564739, 0.030947566340317294]","[0.2654569081217051, 0.3931691806018352, 0.25542856715619566]","[0.3985603086650371, 0.5381884741783142, 0.3566613617539406]","[0.05656566330596824, 0.0020628921449163395, -0.015006573569624815]","[true, true, true]","[0.13310340054333203, 0.14501929357647897, 0.10123279459774492]",1.7172776539272806e-13,1.7169477033419403e-13,True,False,False
