test_index,method,truth,estimate,sd,q05,q95,covers90,width90
51,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[263.786891430338,48.43295995374629,170.8111631768266]","[34.31988285311404,22.906956240584346,22.25498350820874]","[217.53397473869313,14.48134685646577,139.00153592039615]","[326.59395476929285,87.453600166256,210.68061470352694]","[false,true,true]","[109.05998003059972,72.97225330979023,71.67907878313079]"
52,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[280.4457830029475,48.146645642753,203.54513282986645]","[38.53973800281036,25.915826778907515,27.117102484888775]","[226.72857046749732,9.331182678535107,161.62085230502612]","[353.42997472472285,92.50415042882405,249.80717448060207]","[true,true,true]","[126.70140425722553,83.17296775028893,88.18632217557595]"
53,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[239.92438890780915,63.83799869001637,236.21303870705506]","[22.599309157463985,23.523759778961406,26.42311793810924]","[209.49678094650315,26.936018623132767,192.12318978528856]","[279.38851211676695,102.31776163292513,281.0534697656074]","[false,true,false]","[69.8917311702638,75.38174300979236,88.93027998031886]"
54,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[276.2482939068115,38.59640265905871,159.11604371575532]","[38.28619204774524,23.398262972176408,20.567694847573748]","[223.81550327260305,4.4289732223425995,131.3505168258612]","[347.66228532312954,80.1284893046951,196.83610276236845]","[true,true,true]","[123.84678205052649,75.69951608235249,65.48558593650725]"
55,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[280.75196936387044,62.07471753469152,157.38633870858092]","[36.77373110759343,22.2126916310911,19.757991790406347]","[228.4416089186411,28.423408323040903,130.29263648309103]","[349.13014460032804,99.92270003607176,193.14321037978434]","[true,true,true]","[120.68853568168694,71.49929171303086,62.850573896693305]"
56,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[318.2833699645652,56.66745473023836,194.19954420737147]","[43.784827139408776,28.015079430924814,28.06659906370827]","[255.6561788639771,14.879870198267998,152.86549768577078]","[400.28524665743487,102.8932139549619,242.53046962870056]","[true,true,true]","[144.62906779345778,88.0133437566939,89.66497194292978]"
57,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[339.0999090980417,92.20080319927264,170.4486999936906]","[42.76472372434378,24.924161595121795,23.059849442423715]","[274.1271920966214,54.24689045600199,138.06149100774647]","[415.4387817236864,134.25386486880763,211.56374246922897]","[true,true,true]","[141.31158962706502,80.00697441280563,73.5022514614825]"
58,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[339.8273230602445,82.29375502724903,196.29384619510324]","[44.174045614388085,27.685483862279433,27.28839391580286]","[273.6619549125791,39.990719763157145,155.36153462158939]","[418.71006469617566,129.3937274306718,243.69562511427412]","[true,true,true]","[145.04810978359654,89.40300766751464,88.33409049268474]"
59,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[398.8658105939212,74.1621553355728,211.30229039471112]","[50.14584092047462,32.46228198440078,29.52474862267702]","[320.4349750939542,24.434366810668966,163.50993129443307]","[484.4260485694989,129.45447027849193,259.97287572472493]","[true,true,true]","[163.99107347554468,105.02010346782296,96.46294443029186]"
60,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[321.78730698140066,52.18482463919173,221.7750046643089]","[46.314452022146725,29.885598561890106,29.79091259387599]","[254.50922844910286,7.099303890984633,173.55413899793254]","[408.454714769577,103.86734851857388,271.36123377483176]","[true,true,true]","[153.94548632047412,96.76804462758925,97.80709477689922]"
