pi_true,seed,method,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.5,101,raw data NPE,0.548879086971283,0.10608600825071335,0.08908650352739585,0.3462394818663597,0.5723573565483093,0.6812270194292068,0.0023891651431462435,0.00022219053918086016,0.025321622245890303,1.0
0.5,102,exact likelihood grid,0.5563729813617538,0.08446923612990319,0.08446923612990319,0.4055982697367042,0.563638538939778,0.6805019900823354,0.0031779130276126458,0.0,0.0,1.0
0.5,102,raw data NPE,0.49643173813819885,0.11685849726200104,0.08446923612990319,0.26537084877490996,0.5110705494880676,0.6605458080768586,1.2732492714384591e-05,0.0035929526391853765,0.05987733692634266,1.0
0.5,103,exact likelihood grid,0.3140863866482148,0.08656323354684264,0.08656323354684264,0.18128585460368338,0.30857332063407794,0.4654449461499483,0.03456387162951708,0.0,0.0,0.0
0.5,103,raw data NPE,0.3613746762275696,0.131720632314682,0.08656323354684264,0.1648803822696209,0.3517529219388962,0.5946950614452362,0.019216980391011163,0.002236182331340913,0.05315874449817743,1.0
0.5,104,exact likelihood grid,0.5358355142144946,0.08516199319415804,0.08516199319415804,0.38876030142276335,0.5395904809321576,0.6693670688348817,0.0012841840790172446,0.0,0.0,1.0
0.5,104,raw data NPE,0.4719667136669159,0.11443441361188889,0.08516199319415804,0.25806591659784317,0.48162825405597687,0.648231589794159,0.0007858651426326801,0.00407922368338639,0.06380482260242816,1.0
0.5,105,exact likelihood grid,0.5673422033434455,0.0817909298102161,0.0817909298102161,0.41917153686116765,0.5760263070173464,0.6839098212378502,0.004534972351149968,0.0,0.0,1.0
0.5,105,raw data NPE,0.3772995173931122,0.1388336718082428,0.0817909298102161,0.1375243753194809,0.3764487951993942,0.6007631391286851,0.01505540843196318,0.03611622248321703,0.18997880891781327,1.0
0.5,106,exact likelihood grid,0.2962600538077351,0.08501647846416607,0.08501647846416607,0.1660453487040232,0.2907329175500628,0.44504913986634276,0.04150996567442699,0.0,0.0,0.0
0.5,106,raw data NPE,0.3273482024669647,0.1279786080121994,0.08501647846416607,0.14366827607154847,0.31344975531101227,0.560746318101883,0.029808643191388207,0.000966472987058359,0.040031289683270695,1.0
0.5,107,exact likelihood grid,0.43652010723620216,0.09307848621758297,0.09307848621758297,0.2868326383952797,0.4340589409962697,0.5952204522708087,0.004029696785303273,0.0,0.0,1.0
0.5,107,raw data NPE,0.4238504469394684,0.13454002141952515,0.09307848621758297,0.16716674342751503,0.4352664351463318,0.6269062161445618,0.00579875443131872,0.0001605202920346322,0.034165253478018985,1.0
0.5,108,exact likelihood grid,0.4105182437096413,0.09532716950292365,0.09532716950292365,0.2587060283235404,0.40723294247675695,0.5739638995666984,0.00800698470880715,0.0,0.0,1.0
0.5,108,raw data NPE,0.3563707768917084,0.1476157158613205,0.09532716950292365,0.11389258354902268,0.35446174442768097,0.5925130754709245,0.020629353730691413,0.0029319481627991468,0.06002350295338445,1.0
0.5,109,exact likelihood grid,0.5467760171206741,0.08261669987535476,0.08261669987535476,0.4025359122749663,0.5514931993724415,0.6738669905316242,0.0021879957776736003,0.0,0.0,1.0
0.5,109,raw data NPE,0.5671142339706421,0.09766461700201035,0.08261669987535476,0.380252031981945,0.5896105170249939,0.6849750876426697,0.004504320401466089,0.0004136430646363202,0.028485486863652675,1.0
0.65,100,exact likelihood grid,0.5494603762385424,0.08343765262656104,0.08343765262656104,0.40292872540178254,0.5548548308133515,0.676214220274997,0.010108215946095457,0.0,0.0,1.0
0.65,100,raw data NPE,0.5462899208068848,0.10029764473438263,0.08343765262656104,0.35922502130270006,0.563623696565628,0.6767068773508071,0.010755780526242239,1.0051787644127274e-05,0.011661195184798382,1.0
0.65,101,exact likelihood grid,0.543541572276835,0.08738918772552,0.08738918772552,0.3900028875543967,0.5492667423201013,0.6759846157463955,0.011333396833288358,0.0,0.0,1.0
0.65,101,raw data NPE,0.5143558382987976,0.11082177609205246,0.08738918772552,0.3121063277125359,0.5322352945804596,0.663441601395607,0.01839933860362195,0.0008518070678367647,0.0291218100498924,1.0
0.65,102,exact likelihood grid,0.6287138724442078,0.05745928003793409,0.05745928003793409,0.5154920564347948,0.6422617094523195,0.6950973038372689,0.00045309922632145506,0.0,0.0,1.0
0.65,102,raw data NPE,0.42215242981910706,0.13940246403217316,0.05745928003793409,0.1530748650431633,0.43295635282993317,0.6280490309000015,0.05191451523733694,0.042667629579362806,0.2064977742234451,0.0
0.65,103,exact likelihood grid,0.6045206221820112,0.06859264965063042,0.06859264965063042,0.4739937191339849,0.6168149078651705,0.6917870242380878,0.0020683738067113744,0.0,0.0,1.0
0.65,103,raw data NPE,0.4280242323875427,0.12232958525419235,0.06859264965063042,0.20926128253340723,0.43293097615242004,0.6239648431539536,0.049273241407139644,0.03115097561048095,0.17643264040231132,0.0
0.65,104,exact likelihood grid,0.5635295919440354,0.08206662742383002,0.08206662742383002,0.41599704507959656,0.5713702875498958,0.6824089812048599,0.007477131469365031,0.0,0.0,1.0
0.65,104,raw data NPE,0.34485864639282227,0.1347866654396057,0.08206662742383002,0.14921708703041076,0.33334675431251526,0.5869662195444107,0.0931112456812207,0.04781698242826162,0.21860707408510688,0.0
0.65,105,exact likelihood grid,0.6485933942292884,0.04395472828759764,0.04395472828759764,0.5608496898230853,0.6600501085649819,0.6967780067736367,1.9785397941992047e-06,0.0,0.0,1.0
0.65,105,raw data NPE,0.5843015909194946,0.0866716057062149,0.04395472828759764,0.42018132358789445,0.6048454940319061,0.687890088558197,0.004316280955709434,0.0041334359728252106,0.06422803855492694,1.0
0.65,106,exact likelihood grid,0.640605453958244,0.04953665584362904,0.04953665584362904,0.5422062640878631,0.6530209941496165,0.6961336807082187,8.82574953306742e-05,0.0,0.0,1.0
0.65,106,raw data NPE,0.5642418265342712,0.09076573699712753,0.04953665584362904,0.39972967058420183,0.5788403153419495,0.6794954001903534,0.007354464316178028,0.005831403593347321,0.07629992378984743,1.0
0.65,107,exact likelihood grid,0.640477682651236,0.04960073863087666,0.04960073863087666,0.5419627958758393,0.6528932415684052,0.6961216560909974,9.067452769057329e-05,0.0,0.0,1.0
0.65,107,raw data NPE,0.5476039052009583,0.09455250203609467,0.04960073863087666,0.3794957250356674,0.5631484389305115,0.6756642758846283,0.01048496023009435,0.00862553853788371,0.09281002608578524,1.0
