truth_index,truth_label,method,grid_index,radius,angle_degrees,h_x,h_y,truth_delta,mean_estimated_delta,mse_across_datasets,coverage95,mean_width95
0,low,Linear,68,58.608344115833866,90.0,3.588726051239128e-15,58.608344115833866,1.989929239965074,1.989081093513212,4.211366799719641e-06,0.97,0.010156490188653229
0,low,Linear,69,58.608344115833866,112.5,-22.428442291481613,54.14704956299722,1.9856167294268792,1.9842297614436577,7.084825657185795e-06,0.97,0.012857675853136916
0,low,Linear,70,58.608344115833866,135.0,-41.44235755842082,41.442357558420824,1.972629170914862,1.9701058045969757,1.768673598717515e-05,0.99,0.019063128458021814
0,low,Linear,71,58.608344115833866,157.5,-54.14704956299722,22.428442291481623,1.9520190699222078,1.9484786946845503,3.940293973886442e-05,1.0,0.026890371902602975
0,low,Linear,72,65.41974319729482,0.0,65.41974319729482,0.0,1.9677722702405231,1.9656934370229595,2.6226590024180998e-05,0.96,0.02285252237558926
0,low,Linear,73,65.41974319729482,22.5,60.43996176212517,25.035051871183516,1.9795562351997213,1.978541823968051,1.5436861960570597e-05,0.92,0.017530779487537517
0,low,Linear,74,65.41974319729482,45.0,46.258744038289684,46.25874403828968,1.9907456130835504,1.9901910744166877,4.545794118543125e-06,0.96,0.009629594755395885
0,low,Linear,75,65.41974319729482,67.5,25.03505187118352,60.43996176212517,1.9952308170934299,1.9948121327626085,1.469575763053681e-06,0.99,0.005987734863797973
0,low,Linear,76,65.41974319729482,90.0,4.005803955380447e-15,65.41974319729482,1.9959271918136412,1.9954541579236014,1.1351590830321486e-06,0.97,0.005207352729094903
0,low,Linear,77,65.41974319729482,112.5,-25.035051871183512,60.43996176212517,1.993704835101495,1.9928981710982354,2.23013873117434e-06,0.97,0.007101523621435961
0,low,Linear,78,65.41974319729482,135.0,-46.25874403828968,46.258744038289684,1.9862062054864678,1.9845670332122378,7.163869067683078e-06,0.99,0.011971821460849701
0,low,Linear,79,65.41974319729482,157.5,-60.43996176212517,25.035051871183523,1.9727113994705443,1.970147792851896,1.9855502330641363e-05,1.0,0.018908165926191448
0,low,Linear,80,73.30832234473793,0.0,73.30832234473793,0.0,1.983596612820501,1.9821817220582079,1.0901750315723413e-05,0.96,0.01461488047451341
0,low,Linear,81,73.30832234473793,22.5,67.7280585770432,28.053880415810717,1.9906129998783482,1.9899372094919872,5.3216652130244675e-06,0.92,0.010147959569278211
0,low,Linear,82,73.30832234473793,45.0,51.836811847373504,51.83681184737349,1.9964582691822617,1.9961361177043528,1.1131013506227873e-06,0.96,0.004690458572475362
0,low,Linear,83,73.30832234473793,67.5,28.05388041581072,67.7280585770432,1.9984360045619605,1.998232477014164,2.696507309675172e-07,0.99,0.0025432837203206993
0,low,Linear,84,73.30832234473793,90.0,4.488840115517285e-15,73.30832234473793,1.998712899854111,1.9984995778108388,1.9820676624677375e-07,0.97,0.0021426892530042106
0,low,Linear,85,73.30832234473793,112.5,-28.053880415810713,67.7280585770432,1.9977971950197047,1.9974103180962721,4.7423598251666424e-07,0.97,0.0032135701590019217
0,low,Linear,86,73.30832234473793,135.0,-51.83681184737349,51.836811847373504,1.9942116841723447,1.993302168563534,2.106047634194056e-06,0.99,0.006387503812315447
0,low,Linear,87,73.30832234473793,157.5,-67.7280585770432,28.053880415810728,1.9866217261930574,1.9849838555492951,7.736532999175266e-06,1.0,0.01166727680232723
0,low,Linear,88,86.7842498671274,0.0,86.7842498671274,0.0,1.9955022200091936,1.9948826730785476,1.7501211995858007e-06,0.96,0.00576389991784052
0,low,Linear,89,86.7842498671274,22.5,80.17819219658436,33.2108946143819,1.9978959510988448,1.9976224936592744,5.981825829690779e-07,0.92,0.0033028423945792016
0,low,Linear,90,86.7842498671274,45.0,61.365731581233526,61.36573158123352,1.9994444344157134,1.999347162769118,6.463373945228167e-08,0.96,0.0010918728899729424
0,low,Linear,91,86.7842498671274,67.5,33.21089461438191,80.17819219658436,1.9998188101342784,1.9997746623666988,8.864741207633071e-09,0.99,0.000453565050192668
0,low,Linear,92,86.7842498671274,90.0,5.3140026908090844e-15,86.7842498671274,1.9998613392718059,1.9998204288230343,5.855824212263813e-09,0.97,0.0003587456045010118
0,low,Linear,93,86.7842498671274,112.5,-33.21089461438189,80.17819219658436,1.9997101445789334,1.99962502169289,2.0450425302420174e-08,0.97,0.0006463589530678337
0,low,Linear,94,86.7842498671274,135.0,-61.36573158123352,61.365731581233526,1.9989123373142559,1.9986440575195124,1.7056437662611273e-07,0.99,0.001768171586689553
0,low,Linear,95,86.7842498671274,157.5,-80.17819219658436,33.21089461438191,1.9965910931447943,1.995952720095702,1.0878050564211822e-06,1.0,0.0042878803702404555
0,low,"Positive(s,w_a)",0,12.558511058242537,0.0,12.558511058242537,0.0,1.3190112339864741,1.3182588105277557,5.1228630032171485e-05,0.98,0.0346030664872654
0,low,"Positive(s,w_a)",1,12.558511058242537,22.5,11.60255132552694,4.80593411716319,1.3436816486558703,1.3449009004256924,6.86072108014647e-05,0.97,0.0423577596825949
0,low,"Positive(s,w_a)",2,12.558511058242537,45.0,8.880208330889543,8.880208330889543,1.3826427943818416,1.3846650535678182,8.40123555981106e-05,0.98,0.04790436305415078
0,low,"Positive(s,w_a)",3,12.558511058242537,67.5,4.805934117163191,11.60255132552694,1.4120280849015423,1.413606941853749,8.382327662567107e-05,1.0,0.04953486500283416
0,low,"Positive(s,w_a)",4,12.558511058242537,90.0,7.689870184766681e-16,12.558511058242537,1.4186557965694482,1.4189935556790905,7.383171395067566e-05,0.99,0.04727472720074902
0,low,"Positive(s,w_a)",5,12.558511058242537,112.5,-4.805934117163189,11.60255132552694,1.4000390307305155,1.3988224102071865,6.283888701812544e-05,0.99,0.04411605415953459
0,low,"Positive(s,w_a)",6,12.558511058242537,135.0,-8.880208330889543,8.880208330889543,1.363600457742448,1.361148586267965,5.626701773282792e-05,1.0,0.039766102893003176
