pi_true,seed,method,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.3,103,raw data NPE,0.3694383203983307,0.11859004199504852,0.13294013167301733,0.1755104348063469,0.36765623092651367,0.5677060067653656,0.004821680339741229,0.0006437368442581377,0.026875288490516902,1.0
0.3,104,exact likelihood grid,0.4077288280134752,0.1211153590051979,0.1211153590051979,0.20921403683520093,0.406444381379947,0.6114422878661468,0.011605500385156923,0.0,0.0,1.0
0.3,104,raw data NPE,0.3747970163822174,0.12109985202550888,0.1211153590051979,0.18026270791888238,0.37432143092155457,0.5778274595737457,0.005594593659681701,0.0010845042173166467,0.032866921729927515,1.0
0.3,105,exact likelihood grid,0.28589801121336,0.11342283050008185,0.11342283050008185,0.11563180763813427,0.2763562922511925,0.48858692216375876,0.0001988660877385199,0.0,0.0,1.0
0.3,105,raw data NPE,0.29105255007743835,0.11733687669038773,0.11342283050008185,0.11841249614953996,0.27811332046985626,0.505813592672348,8.00568601167482e-05,2.6569270901294133e-05,0.005538503621537028,1.0
0.3,106,exact likelihood grid,0.2540450972129561,0.12118515904055083,0.12118515904055083,0.08075690046303591,0.24012893056130055,0.47579425911060014,0.002111853090166655,0.0,0.0,1.0
0.3,106,raw data NPE,0.24347783625125885,0.11090122163295746,0.12118515904055083,0.09181602112948895,0.2239396572113037,0.4479170888662338,0.003194754994839507,0.00011166700423261057,0.013382637043429946,1.0
0.3,107,exact likelihood grid,0.32095582603213835,0.11398759238957379,0.11398759238957379,0.14441103384052367,0.31424855465474466,0.5204332750397843,0.0004391466446892477,0.0,0.0,1.0
0.3,107,raw data NPE,0.3251863420009613,0.1126851961016655,0.11398759238957379,0.15477267503738404,0.3163050711154938,0.5251658320426941,0.000634351823389388,1.789726536246604e-05,0.00443661739291842,1.0
0.3,108,exact likelihood grid,0.3783544638897606,0.11857138888800092,0.11857138888800092,0.18930279411874584,0.37421067905125777,0.5823679501274306,0.0061394220114517955,0.0,0.0,1.0
0.3,108,raw data NPE,0.3573412001132965,0.11467041820287704,0.11857138888800092,0.1767078511416912,0.3537721335887909,0.5480820417404175,0.003288013230433117,0.0004415572545392568,0.020948362211935113,1.0
0.3,109,exact likelihood grid,0.2645533131165666,0.12010621589906408,0.12010621589906408,0.08760194019080016,0.253098786695241,0.4810814028049737,0.0012564676110121684,0.0,0.0,1.0
0.3,109,raw data NPE,0.2118532955646515,0.09611112624406815,0.12010621589906408,0.08300963453948498,0.19480396062135696,0.39705069810152055,0.007769841502812687,0.002777291849972161,0.052684997386092836,1.0
0.5,100,exact likelihood grid,0.6047463026397468,0.07565182190585044,0.07565182190585044,0.4560756652249525,0.6221269317307964,0.6932422503859345,0.010971787916697432,0.0,0.0,1.0
0.5,100,raw data NPE,0.5959452390670776,0.08044113963842392,0.07565182190585044,0.4466453567147255,0.6154721081256866,0.6907803922891617,0.00920548889963868,7.745872001016453e-05,0.008741026462928644,1.0
0.5,101,exact likelihood grid,0.44389893334967223,0.12332068166908233,0.12332068166908233,0.23577885692733325,0.44621386536726737,0.6439613518090143,0.0031473296793045184,0.0,0.0,1.0
0.5,101,raw data NPE,0.43970194458961487,0.12183826416730881,0.12332068166908233,0.22948863059282304,0.4463772028684616,0.628346610069275,0.0036358554862738757,1.761471465204784e-05,0.004393254130451798,1.0
0.5,102,exact likelihood grid,0.5078977993755998,0.11472320125317328,0.11472320125317328,0.30136484560809873,0.5189106604576561,0.6745612948975253,6.23752349772239e-05,0.0,0.0,1.0
0.5,102,raw data NPE,0.5060874223709106,0.10940796881914139,0.11472320125317328,0.30437233448028567,0.5201570093631744,0.6600507080554963,3.705671112186337e-05,3.2774648991071215e-06,0.005824424063022564,1.0
0.5,103,exact likelihood grid,0.4390675682328325,0.13227920756193295,0.13227920756193295,0.21272160297818188,0.44334139209858703,0.6497498081284264,0.0037127612410605237,0.0,0.0,1.0
0.5,103,raw data NPE,0.44585487246513367,0.11653349548578262,0.13227920756193295,0.24330157339572905,0.4529622048139572,0.6271082133054733,0.0029316948357669403,4.6067498741813403e-05,0.01562208425072071,1.0
0.5,104,exact likelihood grid,0.5443126980015948,0.09905119665064492,0.09905119665064492,0.3625497865767029,0.5564981999835866,0.682285774525954,0.0019636152041805407,0.0,0.0,1.0
0.5,104,raw data NPE,0.5096097588539124,0.10722851753234863,0.09905119665064492,0.30964684933423997,0.5265071988105774,0.6598203659057618,9.234746523034687e-05,0.0012042939854877484,0.03463914651373866,1.0
0.5,105,exact likelihood grid,0.5720654337203477,0.09045363334597357,0.09045363334597357,0.40038513244919116,0.5877293099016749,0.6885666646153258,0.005193426737301825,0.0,0.0,1.0
0.5,105,raw data NPE,0.5282987952232361,0.09833996742963791,0.09045363334597357,0.3445172682404518,0.5443972051143646,0.6618882447481156,0.0008008218110866494,0.001915518645336851,0.04370297013901215,1.0
0.5,106,exact likelihood grid,0.38717864176547256,0.12396789512939269,0.12396789512939269,0.18658802069457156,0.38436247552713004,0.5982269092593984,0.012728658873883572,0.0,0.0,1.0
