pi_true,seed,method,pilot_u_context,pilot_pi_context,pilot_status,score_context,pi_post_mean,pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.07,109,pilot-only NPE,-2.8064351081848145,0.05697742376221491,interior,nan,0.1453046053647995,0.07454422861337662,0.06162048578262329,0.12696082890033722,0.2924068108201027,0.005670783589148189,7.2460071869267135e-06,0.010289390125350437,1.0
0.07,109,linear FSM pilot+score NPE,-2.8064351081848145,0.05697742376221491,interior,1.1494276523590088,0.17068897187709808,0.07661260664463043,0.0681909203529358,0.15856880694627762,0.31565944105386734,0.010138269057667047,0.0007882734201136071,0.02814294749432642,1.0
0.07,109,shared-raw-gate FSM pilot+score NPE,-2.8064351081848145,0.05697742376221491,interior,1.4193286895751953,0.16373367607593536,0.07434698194265366,0.06685054115951061,0.15026534348726273,0.30117378979921344,0.008786002030708376,0.00044609290537103285,0.021187648148922513,1.0
0.1,100,exact likelihood grid,-1.9838882460605203,0.12090495853605149,interior,nan,0.1619910591712785,0.06639983411787068,0.06978323830745468,0.15295207771819402,0.2847620916268765,0.003842891417176953,0.0,0.0,1.0
0.1,100,pilot-only NPE,-1.9838882684707642,0.12090495615413505,interior,nan,0.19704994559288025,0.09659907966852188,0.06980952210724355,0.17944825440645218,0.3785145625472069,0.009418691939581015,0.0012291255171227706,0.03512681242222712,1.0
0.1,100,linear FSM pilot+score NPE,-1.9838882684707642,0.12090495615413505,interior,-0.5870994925498962,0.13213683664798737,0.05835402384400368,0.05937350708991289,0.12179236114025116,0.2417077049612999,0.0010327762697394235,0.0008912746024701844,0.029787502140297,1.0
0.1,100,shared-raw-gate FSM pilot+score NPE,-1.9838882684707642,0.12090495615413505,interior,-0.6944971084594727,0.13049638271331787,0.06062646210193634,0.057956917025148866,0.11796840280294418,0.24706006124615673,0.0009300293585971527,0.0009919146451916202,0.03142797896240503,1.0
0.1,101,exact likelihood grid,-2.4683712857211133,0.07810543009930382,interior,nan,0.1459486603200323,0.06263351440289287,0.06326539953190595,0.13559327575026114,0.26394556230032196,0.002111279385205709,0.0,0.0,1.0
0.1,101,pilot-only NPE,-2.4683713912963867,0.07810542249735956,interior,nan,0.17141193151474,0.08447175472974777,0.06689452901482583,0.1548886075615883,0.33551472425460827,0.005099663962665914,0.0006483781799352311,0.02553007495241404,1.0
0.1,101,linear FSM pilot+score NPE,-2.4683713912963867,0.07810542249735956,interior,1.1659650802612305,0.18268123269081116,0.07739774137735367,0.07595215924084187,0.17096658796072006,0.32467393130064015,0.006836186239272059,0.0013492818729745073,0.03679937512563706,1.0
0.1,101,shared-raw-gate FSM pilot+score NPE,-2.4683713912963867,0.07810542249735956,interior,1.6481140851974487,0.1883460134267807,0.07893524318933487,0.08043593838810921,0.17571847885847092,0.33228220343589787,0.007805018088404915,0.0017975355504583094,0.04246418023692609,1.0
0.1,102,exact likelihood grid,-1.6822309624030243,0.15680027863643897,interior,nan,0.2634011333726914,0.08319071314052129,0.13809735413053403,0.2568880055936657,0.4106177490174676,0.026699930387480076,0.0,0.0,0.0
0.1,102,pilot-only NPE,-1.6822309494018555,0.15680028035537488,interior,nan,0.22227352857589722,0.10617203265428543,0.07688027173280716,0.20472382754087448,0.4190331876277924,0.014950815790400751,0.0016914798763212869,0.04428079295618146,1.0
0.1,102,linear FSM pilot+score NPE,-1.6822309494018555,0.15680028035537488,interior,1.4007318019866943,0.25461333990097046,0.09081481397151947,0.12111768126487732,0.2464238628745079,0.4147954314947129,0.023905284875333024,7.722531410162097e-05,0.010518493807924183,0.0
0.1,102,shared-raw-gate FSM pilot+score NPE,-1.6822309494018555,0.15680028035537488,interior,1.4965871572494507,0.2500728368759155,0.08749677985906601,0.11976263523101807,0.24308700114488602,0.4018323361873627,0.02252185636798515,0.00017764348750596765,0.013468636159161588,0.0
0.1,103,exact likelihood grid,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.07960997457726851,0.028961002737813258,0.051429073862265466,0.07077106145536079,0.13766453017617755,0.0004157531367396367,0.0,0.0,1.0
0.1,103,pilot-only NPE,-2.944438934326172,0.050000002129912804,left_boundary,nan,0.12364296615123749,0.06503978371620178,0.058027198910713194,0.10476306453347206,0.2592290103435517,0.0005589898484285613,0.0019389043469532229,0.04409935197273171,1.0
0.1,103,linear FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,-1.2557514905929565,0.08874662220478058,0.03633808344602585,0.0535368524491787,0.0771232582628727,0.16224134638905524,0.00012663851180193765,8.34783298693219e-05,0.009202994498255615,1.0
0.1,103,shared-raw-gate FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,-1.554984450340271,0.08358826488256454,0.03514734283089638,0.052542919293046,0.07081634551286697,0.157153233140707,0.00026934504956486436,1.582679375321241e-05,0.00414078565265448,1.0
0.1,104,exact likelihood grid,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.09453071719306991,0.039342512984450566,0.05267412738756153,0.08382748868603071,0.17274804117652923,2.991305442218117e-05,0.0,0.0,1.0
0.1,104,pilot-only NPE,-2.944438934326172,0.050000002129912804,left_boundary,nan,0.12420975416898727,0.06531542539596558,0.05767333153635264,0.10474923998117447,0.259400923550129,0.0005861121969227964,0.0008808452358178702,0.029745603993968615,1.0
0.1,104,linear FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,0.22415512800216675,0.12291935831308365,0.05697779729962349,0.05752630941569805,0.11039078235626221,0.23694334477186207,0.0005252969854835163,0.000805914944640935,0.02845521903453911,1.0
