method,seed,pi_true,pilot_u_context,pilot_pi_context,pilot_status,score_context,pi_post_mean,pi_post_std,pi_q05,pi_q50,pi_q95,pi_sq_err,pi_coverage90,exact_pi_post_mean,exact_pi_post_std,exact_pi_q05,exact_pi_q50,exact_pi_q95,mean_abs_err_to_exact,mean_sq_err_to_exact,sd_abs_err_to_exact,q05_abs_err_to_exact,q50_abs_err_to_exact,q95_abs_err_to_exact,w1_to_exact,cdf_at_true,exact_cdf_at_true,cdf_at_true_abs_err_to_exact
linear FSM pilot+score NPE,105,0.07,-1.6757964289625658,0.157652893640706,interior,-0.509648323059082,0.1614590287208557,0.0840906947851181,0.06357605233788491,0.14287451654672623,0.32975425720214846,0.008364753934562309,1.0,0.16540370617496497,0.0905391005398556,0.058590138216714986,0.1449393213352827,0.34260945076213684,0.003944677454109258,1.5560480216957894e-05,0.006448405754737499,0.004985914121169922,0.0020648047885564735,0.012855193559988376,0.0067645574435185405,0.0954,0.11516189517230319,0.019761895172303187
radial FSM pilot+score NPE,105,0.07,-1.6757964289625658,0.157652893640706,interior,-0.7610820531845093,0.1590225249528885,0.08373591303825378,0.061338421888649464,0.1398850679397583,0.31742428690195085,0.007925009948987653,1.0,0.16540370617496497,0.0905391005398556,0.058590138216714986,0.1449393213352827,0.34260945076213684,0.006381181222076482,4.0719473788981505e-05,0.006803187501601818,0.0027482836719344775,0.0050542533955243996,0.02518516386018599,0.006852441406361645,0.1056,0.11516189517230319,0.009561895172303186
exact likelihood grid,106,0.07,-1.4797289849791466,0.18546835800051473,interior,nan,0.24697251245635096,0.1182618892341895,0.07888195355535195,0.23296963747730423,0.4637504980247935,0.031319270165113294,0.0,0.24697251245635096,0.1182618892341895,0.07888195355535195,0.23296963747730423,0.4637504980247935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03286458259438016,0.03286458259438016,0.0
pilot-only NPE,106,0.07,-1.4797289849791466,0.18546835800051473,interior,nan,0.23587597906589508,0.11501017957925797,0.07380911707878113,0.22085627913475037,0.44907000958919524,0.027514840431069262,0.0,0.24697251245635096,0.1182618892341895,0.07888195355535195,0.23296963747730423,0.4637504980247935,0.011096533390455882,0.0001231330532855023,0.003251709654931531,0.005072836476570822,0.012113358342553865,0.014680488435598271,0.011065993253913678,0.0408,0.03286458259438016,0.007935417405619843
linear FSM pilot+score NPE,106,0.07,-1.4797289849791466,0.18546835800051473,interior,0.16637060046195984,0.2573932707309723,0.1141069084405899,0.0906247053295374,0.24379650503396988,0.4686407923698425,0.03511623791525147,0.0,0.24697251245635096,0.1182618892341895,0.07888195355535195,0.23296963747730423,0.4637504980247935,0.010420758274621328,0.00010859220301808888,0.004154980793599591,0.011742751774185448,0.010826867556665648,0.004890294345049007,0.010584523591391969,0.0138,0.03286458259438016,0.01906458259438016
radial FSM pilot+score NPE,106,0.07,-1.4797289849791466,0.18546835800051473,interior,0.14058798551559448,0.25214454531669617,0.11362797021865845,0.08780572488904,0.2409142330288887,0.46407121121883393,0.03317663538862598,0.0,0.24697251245635096,0.1182618892341895,0.07888195355535195,0.23296963747730423,0.4637504980247935,0.005172032860345205,2.67499239084906e-05,0.004633919015531049,0.008923771333688046,0.007944595551584471,0.00032071319404042287,0.0063477186957034614,0.0174,0.03286458259438016,0.01546458259438016
exact likelihood grid,107,0.07,-2.0556635001861925,0.1134813657601714,interior,nan,0.17749097270913144,0.08436710967497799,0.06652997103570456,0.1633116155440829,0.33708421180636017,0.01155430921395524,1.0,0.17749097270913144,0.08436710967497799,0.06652997103570456,0.1633116155440829,0.33708421180636017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06232271445590638,0.06232271445590638,0.0
pilot-only NPE,107,0.07,-2.0556635001861925,0.1134813657601714,interior,nan,0.19191564619541168,0.10232596844434738,0.06270666755735874,0.17446687817573547,0.3827781081199647,0.014863424787244797,1.0,0.17749097270913144,0.08436710967497799,0.06652997103570456,0.1633116155440829,0.33708421180636017,0.014424673486280237,0.00020807120518579605,0.017958858769369396,0.0038233034783458214,0.011155262631652563,0.04569389631360454,0.016994673683362903,0.0878,0.06232271445590638,0.02547728554409362
linear FSM pilot+score NPE,107,0.07,-2.0556635001861925,0.1134813657601714,interior,0.13176706433296204,0.21116626262664795,0.10340654850006104,0.07352113127708435,0.19388026744127274,0.41733942776918415,0.01992791370397574,0.0,0.17749097270913144,0.08436710967497799,0.06652997103570456,0.1633116155440829,0.33708421180636017,0.033675289917516504,0.0011340251510287887,0.01903943882508305,0.006991160241379787,0.030568651897189825,0.08025521596282398,0.03374198427442771,0.0364,0.06232271445590638,0.02592271445590638
radial FSM pilot+score NPE,107,0.07,-2.0556635001861925,0.1134813657601714,interior,0.12121731042861938,0.20643293857574463,0.10201074928045273,0.07340038679540158,0.18921678513288498,0.3956249698996544,0.018613946728412906,0.0,0.17749097270913144,0.08436710967497799,0.06652997103570456,0.1633116155440829,0.33708421180636017,0.028941965866613184,0.0008376373882242026,0.017643639605474742,0.006870415759697018,0.02590516958880207,0.05854075809329423,0.02900866395179492,0.0368,0.06232271445590638,0.025522714455906384
exact likelihood grid,108,0.07,-1.419377001621663,0.19475926866163112,interior,nan,0.17893486263643124,0.09919539889972874,0.06007121096686273,0.15725514870960955,0.37255307265399507,0.011866804297618142,1.0,0.17893486263643124,0.09919539889972874,0.06007121096686273,0.15725514870960955,0.37255307265399507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0991291627886325,0.0991291627886325,0.0
pilot-only NPE,108,0.07,-1.419377001621663,0.19475926866163112,interior,nan,0.2429724782705307,0.11689653992652893,0.07777507044374943,0.2289041057229042,0.46207679063081747,0.029919478239049214,0.0,0.17893486263643124,0.09919539889972874,0.06007121096686273,0.15725514870960955,0.37255307265399507,0.06403761563409946,0.004100816216100659,0.01770114102680019,0.0177038594768867,0.07164895701329466,0.0895237179768224,0.06410327583986657,0.0306,0.0991291627886325,0.0685291627886325
linear FSM pilot+score NPE,108,0.07,-1.419377001621663,0.19475926866163112,interior,-0.4268283247947693,0.19897760450839996,0.09994660317897797,0.0671664010733366,0.18213099986314774,0.3906091704964638,0.016635222464725232,1.0,0.17893486263643124,0.09919539889972874,0.06007121096686273,0.15725514870960955,0.37255307265399507,0.020042741871968722,0.00040171150174636827,0.0007512042792492263,0.007095190106473873,0.024875851153538187,0.018056097842468755,0.020248001621094983,0.0604,0.0991291627886325,0.0387291627886325
